chloride,cem,slag,sf,fa,wb_ratio,sol,per,depth
0.626657026,1,0,0,0,1,0.659222116,0.017152281,0.006711409
0.58978067,1,0,0,0,1,0.659222116,0.017152281,0.020134228
0.368522536,1,0,0,0,1,0.659222116,0.017152281,0.033557047
0.294769824,1,0,0,0,1,0.659222116,0.017152281,0.046979866
0.23945529,1,0,0,0,1,0.659222116,0.017152281,0.060402685
0.276331646,1,0,0,0,1,0.659222116,0.017152281,0.073825503
0.294769824,1,0,0,0,1,0.659222116,0.017152281,0.087248322
0.23945529,1,0,0,0,1,0.659222116,0.017152281,0.100671141
0.221017113,1,0,0,0,1,0.659222116,0.017152281,0.11409396
0.184140757,1,0,0,0,1,0.659222116,0.017152281,0.127516779
0.128826223,1,0,0,0,1,0.659222116,0.017152281,0.140939597
0.110388045,1,0,0,0,1,0.659222116,0.017152281,0.154362416
0.091949867,1,0,0,0,1,0.659222116,0.017152281,0.181208054
0.110388045,1,0,0,0,1,0.659222116,0.017152281,0.194630872
0.534466136,1,0,0,0,1,0.659222116,0.018141836,0.006711409
0.608218848,1,0,0,0,1,0.659222116,0.018141836,0.020134228
0.350084358,1,0,0,0,1,0.659222116,0.018141836,0.033557047
0.313208002,1,0,0,0,1,0.659222116,0.018141836,0.046979866
0.294769824,1,0,0,0,1,0.659222116,0.018141836,0.060402685
0.276331646,1,0,0,0,1,0.659222116,0.018141836,0.073825503
0.257893468,1,0,0,0,1,0.659222116,0.018141836,0.087248322
0.257893468,1,0,0,0,1,0.659222116,0.018141836,0.100671141
0.184140757,1,0,0,0,1,0.659222116,0.018141836,0.11409396
0.202578935,1,0,0,0,1,0.659222116,0.018141836,0.127516779
0.165702579,1,0,0,0,1,0.659222116,0.018141836,0.140939597
0.128826223,1,0,0,0,1,0.659222116,0.018141836,0.154362416
0.110388045,1,0,0,0,1,0.659222116,0.018141836,0.167785235
0.128826223,1,0,0,0,1,0.659222116,0.018141836,0.181208054
0.128826223,1,0,0,0,1,0.659222116,0.018141836,0.194630872
0.571342492,1,0,0,0,1,0.659222116,0.017592084,0.006711409
0.552904314,1,0,0,0,1,0.659222116,0.017592084,0.020134228
0.516027959,1,0,0,0,1,0.659222116,0.017592084,0.033557047
0.368522536,1,0,0,0,1,0.659222116,0.017592084,0.046979866
0.33164618,1,0,0,0,1,0.659222116,0.017592084,0.060402685
0.276331646,1,0,0,0,1,0.659222116,0.017592084,0.073825503
0.257893468,1,0,0,0,1,0.659222116,0.017592084,0.087248322
0.23945529,1,0,0,0,1,0.659222116,0.017592084,0.100671141
0.202578935,1,0,0,0,1,0.659222116,0.017592084,0.11409396
0.165702579,1,0,0,0,1,0.659222116,0.017592084,0.127516779
0.147264401,1,0,0,0,1,0.659222116,0.017592084,0.140939597
0.128826223,1,0,0,0,1,0.659222116,0.017592084,0.154362416
0.147264401,1,0,0,0,1,0.659222116,0.017592084,0.167785235
0.110388045,1,0,0,0,1,0.659222116,0.017592084,0.181208054
0.128826223,1,0,0,0,1,0.659222116,0.017592084,0.194630872
0.479151603,1,0,0,0,1,0.659222116,0.005717427,0.006711409
0.534466136,1,0,0,0,1,0.659222116,0.005717427,0.020134228
0.442275247,1,0,0,0,1,0.659222116,0.005717427,0.033557047
0.33164618,1,0,0,0,1,0.659222116,0.005717427,0.046979866
0.294769824,1,0,0,0,1,0.659222116,0.005717427,0.060402685
0.23945529,1,0,0,0,1,0.659222116,0.005717427,0.073825503
0.184140757,1,0,0,0,1,0.659222116,0.005717427,0.087248322
0.165702579,1,0,0,0,1,0.659222116,0.005717427,0.100671141
0.128826223,1,0,0,0,1,0.659222116,0.005717427,0.11409396
0.110388045,1,0,0,0,1,0.659222116,0.005717427,0.127516779
0.091949867,1,0,0,0,1,0.659222116,0.005717427,0.140939597
0.110388045,1,0,0,0,1,0.659222116,0.005717427,0.154362416
0.07351169,1,0,0,0,1,0.659222116,0.005717427,0.167785235
0.07351169,1,0,0,0,1,0.659222116,0.005717427,0.181208054
0.07351169,1,0,0,0,1,0.659222116,0.005717427,0.194630872
0.460713425,1,0,0,0,1,0.659222116,0.018361737,0.006711409
0.571342492,1,0,0,0,1,0.659222116,0.018361737,0.020134228
0.479151603,1,0,0,0,1,0.659222116,0.018361737,0.033557047
0.423837069,1,0,0,0,1,0.659222116,0.018361737,0.046979866
0.313208002,1,0,0,0,1,0.659222116,0.018361737,0.060402685
0.257893468,1,0,0,0,1,0.659222116,0.018361737,0.073825503
0.23945529,1,0,0,0,1,0.659222116,0.018361737,0.087248322
0.202578935,1,0,0,0,1,0.659222116,0.018361737,0.100671141
0.184140757,1,0,0,0,1,0.659222116,0.018361737,0.11409396
0.165702579,1,0,0,0,1,0.659222116,0.018361737,0.127516779
0.147264401,1,0,0,0,1,0.659222116,0.018361737,0.140939597
0.128826223,1,0,0,0,1,0.659222116,0.018361737,0.154362416
0.165702579,1,0,0,0,1,0.659222116,0.018361737,0.167785235
0.128826223,1,0,0,0,1,0.659222116,0.018361737,0.181208054
0.184140757,1,0,0,0,1,0.659222116,0.018361737,0.194630872
0.479151603,1,0,0,0,1,0.659222116,0.005277625,0.006711409
0.497589781,1,0,0,0,1,0.659222116,0.005277625,0.020134228
0.442275247,1,0,0,0,1,0.659222116,0.005277625,0.033557047
0.368522536,1,0,0,0,1,0.659222116,0.005277625,0.046979866
0.313208002,1,0,0,0,1,0.659222116,0.005277625,0.060402685
0.276331646,1,0,0,0,1,0.659222116,0.005277625,0.073825503
0.257893468,1,0,0,0,1,0.659222116,0.005277625,0.087248322
0.23945529,1,0,0,0,1,0.659222116,0.005277625,0.100671141
0.184140757,1,0,0,0,1,0.659222116,0.005277625,0.11409396
0.165702579,1,0,0,0,1,0.659222116,0.005277625,0.127516779
0.202578935,1,0,0,0,1,0.659222116,0.005277625,0.140939597
0.128826223,1,0,0,0,1,0.659222116,0.005277625,0.154362416
0.110388045,1,0,0,0,1,0.659222116,0.005277625,0.167785235
0.091949867,1,0,0,0,1,0.659222116,0.005277625,0.181208054
0.110388045,1,0,0,0,1,0.659222116,0.005277625,0.194630872
0.516027959,1,0,0,0,1,0.659222116,0.016382628,0.006711409
0.534466136,1,0,0,0,1,0.659222116,0.016382628,0.020134228
0.460713425,1,0,0,0,1,0.659222116,0.016382628,0.033557047
0.442275247,1,0,0,0,1,0.659222116,0.016382628,0.046979866
0.423837069,1,0,0,0,1,0.659222116,0.016382628,0.060402685
0.294769824,1,0,0,0,1,0.659222116,0.016382628,0.073825503
0.313208002,1,0,0,0,1,0.659222116,0.016382628,0.087248322
0.23945529,1,0,0,0,1,0.659222116,0.016382628,0.100671141
0.221017113,1,0,0,0,1,0.659222116,0.016382628,0.11409396
0.147264401,1,0,0,0,1,0.659222116,0.016382628,0.127516779
0.110388045,1,0,0,0,1,0.659222116,0.016382628,0.140939597
0.07351169,1,0,0,0,1,0.659222116,0.016382628,0.154362416
0.091949867,1,0,0,0,1,0.659222116,0.016382628,0.167785235
0.110388045,1,0,0,0,1,0.659222116,0.016382628,0.181208054
0.091949867,1,0,0,0,1,0.659222116,0.016382628,0.194630872
0.479151603,1,0,0,0,1,0.659222116,0.015503024,0.006711409
0.516027959,1,0,0,0,1,0.659222116,0.015503024,0.020134228
0.479151603,1,0,0,0,1,0.659222116,0.015503024,0.033557047
0.350084358,1,0,0,0,1,0.659222116,0.015503024,0.046979866
0.294769824,1,0,0,0,1,0.659222116,0.015503024,0.060402685
0.313208002,1,0,0,0,1,0.659222116,0.015503024,0.073825503
0.202578935,1,0,0,0,1,0.659222116,0.015503024,0.087248322
0.165702579,1,0,0,0,1,0.659222116,0.015503024,0.100671141
0.128826223,1,0,0,0,1,0.659222116,0.015503024,0.11409396
0.110388045,1,0,0,0,1,0.659222116,0.015503024,0.127516779
0.091949867,1,0,0,0,1,0.659222116,0.015503024,0.140939597
0.07351169,1,0,0,0,1,0.659222116,0.015503024,0.154362416
0.091949867,1,0,0,0,1,0.659222116,0.015503024,0.167785235
0.091949867,1,0,0,0,1,0.659222116,0.015503024,0.181208054
0.091949867,1,0,0,0,1,0.659222116,0.015503024,0.194630872
0.571342492,1,0,0,0,1,0.659222116,0.000109951,0.006711409
0.423837069,1,0,0,0,1,0.659222116,0.000109951,0.020134228
0.33164618,1,0,0,0,1,0.659222116,0.000109951,0.033557047
0.276331646,1,0,0,0,1,0.659222116,0.000109951,0.046979866
0.294769824,1,0,0,0,1,0.659222116,0.000109951,0.060402685
0.313208002,1,0,0,0,1,0.659222116,0.000109951,0.073825503
0.257893468,1,0,0,0,1,0.659222116,0.000109951,0.087248322
0.23945529,1,0,0,0,1,0.659222116,0.000109951,0.100671141
0.221017113,1,0,0,0,1,0.659222116,0.000109951,0.11409396
0.221017113,1,0,0,0,1,0.659222116,0.000109951,0.127516779
0.165702579,1,0,0,0,1,0.659222116,0.000109951,0.140939597
0.202578935,1,0,0,0,1,0.659222116,0.000109951,0.154362416
0.184140757,1,0,0,0,1,0.659222116,0.000109951,0.167785235
0.147264401,1,0,0,0,1,0.659222116,0.000109951,0.181208054
0.055073512,1,0,0,0,1,0.659222116,0.000109951,0.194630872
0.626657026,1,0,0,0,1,0.659222116,0.000439802,0.006711409
0.626657026,1,0,0,0,1,0.659222116,0.000439802,0.020134228
0.608218848,1,0,0,0,1,0.659222116,0.000439802,0.033557047
0.442275247,1,0,0,0,1,0.659222116,0.000439802,0.046979866
0.479151603,1,0,0,0,1,0.659222116,0.000439802,0.060402685
0.423837069,1,0,0,0,1,0.659222116,0.000439802,0.073825503
0.368522536,1,0,0,0,1,0.659222116,0.000439802,0.087248322
0.313208002,1,0,0,0,1,0.659222116,0.000439802,0.100671141
0.276331646,1,0,0,0,1,0.659222116,0.000439802,0.11409396
0.202578935,1,0,0,0,1,0.659222116,0.000439802,0.127516779
0.147264401,1,0,0,0,1,0.659222116,0.000439802,0.140939597
0.110388045,1,0,0,0,1,0.659222116,0.000439802,0.154362416
0.07351169,1,0,0,0,1,0.659222116,0.000439802,0.167785235
0.091949867,1,0,0,0,1,0.659222116,0.000439802,0.181208054
0.055073512,1,0,0,0,1,0.659222116,0.000439802,0.194630872
0.405398891,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.23945529,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.147264401,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.060402685
0.497589781,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.33164618,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.165702579,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.036635334,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.060402685
0.460713425,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.257893468,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.147264401,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.055073512,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.060402685
0.516027959,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.276331646,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.091949867,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.036635334,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.442275247,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.313208002,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.110388045,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.036635334,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.060402685
0.460713425,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.294769824,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.07351169,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.497589781,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.294769824,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.07351169,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.060402685
0.516027959,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.257893468,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.165702579,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.036635334,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.534466136,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.276331646,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
0.055073512,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.033557047
0.018197156,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.046979866
0.497589781,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.006711409
0.257893468,0.125,0.933333333,0,0,1,0.659222116,0.019351292,0.020134228
